date,cpi_index,unit_labor,personal_savings,personal_expenses,rent_prim_res
2008-01,212.174,100.256,366.923,9996.4,239.85
2008-02,212.687,99.94566666666667,433.788,9981.7,240.325
2008-03,213.448,99.63533333333334,500.653,10035.3,240.874
2008-04,213.942,99.325,567.518,10070.3,241.474
2008-05,215.208,99.56466666666667,522.6833333333334,10132.3,241.803
2008-06,217.463,99.80433333333333,477.8486666666667,10187.1,242.64
2008-07,219.016,100.044,433.014,10185.1,243.367
2008-08,218.69,100.59166666666667,503.9936666666667,10175.7,244.181
2008-09,218.877,101.13933333333333,574.9733333333334,10116.4,244.926
2008-10,216.995,101.687,645.953,10034.1,245.855
2008-11,213.153,100.49533333333333,644.1876666666667,9885.2,246.681
2008-12,211.398,99.30366666666666,642.4223333333333,9801.5,247.278
2009-01,211.933,98.112,640.657,9847.2,247.974
2009-02,212.705,98.24033333333333,678.1556666666667,9824.5,248.305
2009-03,212.495,98.36866666666667,715.6543333333334,9773.2,248.639
2009-04,212.709,98.497,753.153,9772.5,248.899
2009-05,213.022,98.243,689.515,9791.6,249.069
2009-06,214.79,97.989,625.8770000000001,9852.4,249.092
2009-07,214.726,97.735,562.239,9886.3,248.994
2009-08,215.445,97.45466666666667,575.7013333333333,10004.1,249.029
2009-09,215.861,97.17433333333334,589.1636666666667,9927.8,248.965
2009-10,216.509,96.894,602.626,9976.7,248.888
2009-11,217.234,96.50933333333333,613.1846666666667,9985.7,248.886
2009-12,217.347,96.12466666666667,623.7433333333333,10052.6,248.999
2010-01,217.488,95.74,634.302,10056.1,249.144
2010-02,217.281,96.01433333333333,667.9856666666667,10093.4,249.017
2010-03,217.353,96.28866666666667,701.6693333333333,10156.0,249.089
2010-04,217.403,96.563,735.353,10182.3,249.012
2010-05,217.29,96.52366666666667,737.052,10210.8,248.925
2010-06,217.199,96.48433333333332,738.751,10231.3,248.999
2010-07,217.605,96.445,740.45,10268.1,249.126
2010-08,217.923,96.482,736.0166666666667,10307.1,249.024
2010-09,218.275,96.51899999999999,731.5833333333334,10327.1,249.368
2010-10,219.035,96.556,727.15,10386.4,249.618
2010-11,219.59,97.37866666666666,755.245,10433.6,250.317
2010-12,220.472,98.20133333333334,783.3399999999999,10471.0,250.986
2011-01,221.187,99.024,811.435,10514.3,251.555
2011-02,221.898,98.74733333333333,801.178,10540.6,251.829
2011-03,223.046,98.47066666666667,790.9209999999999,10619.7,252.145
2011-04,224.093,98.194,780.664,10652.1,252.221
2011-05,224.806,98.542,789.4873333333334,10672.2,252.393
2011-06,224.806,98.89,798.3106666666666,10694.8,252.592
2011-07,225.395,99.238,807.134,10731.6,253.085
2011-08,226.106,98.56766666666667,813.0156666666667,10750.3,254.003
2011-09,226.597,97.89733333333334,818.8973333333333,10783.2,254.628
2011-10,226.75,97.227,824.779,10802.9,255.651
2011-11,227.169,97.855,875.0283333333333,10806.8,256.367
2011-12,227.223,98.483,925.2776666666667,10817.8,257.189
2012-01,227.842,99.111,975.527,10896.8,257.714
2012-02,228.329,99.13766666666668,1006.3773333333334,10987.2,258.184
2012-03,228.807,99.16433333333333,1037.2276666666667,10993.9,258.569
2012-04,229.187,99.191,1068.078,11018.5,258.922
2012-05,228.713,99.256,1035.6236666666666,11006.8,259.231
2012-06,228.524,99.321,1003.1693333333334,10989.8,259.407
2012-07,228.59,99.386,970.715,11016.8,260.107
2012-08,229.918,100.37466666666667,1073.1296666666667,11056.0,260.677
2012-09,231.015,101.36333333333333,1175.5443333333333,11105.3,261.421
2012-10,231.638,102.352,1277.959,11137.4,262.707
2012-11,231.249,101.67733333333334,1091.1823333333334,11178.4,263.365
2012-12,231.221,101.00266666666667,904.4056666666668,11181.2,264.098
2013-01,231.679,100.328,717.629,11245.8,264.7
2013-02,232.937,100.68366666666667,742.5753333333333,11282.1,265.256
2013-03,232.282,101.03933333333333,767.5216666666666,11268.9,265.821
2013-04,231.797,101.395,792.468,11259.3,265.984
2013-05,231.893,101.14666666666666,795.8496666666666,11295.1,266.559
2013-06,232.445,100.89833333333334,799.2313333333334,11318.5,266.905
2013-07,232.9,100.65,802.613,11346.8,267.482
2013-08,233.456,100.65100000000001,785.498,11376.9,268.505
2013-09,233.544,100.652,768.383,11413.9,269.137
2013-10,233.669,100.653,751.268,11465.2,269.96
2013-11,234.1,101.65733333333334,787.6463333333334,11531.3,270.698
2013-12,234.719,102.66166666666666,824.0246666666667,11558.6,271.688
2014-01,235.288,103.666,860.403,11543.7,272.317
2014-02,235.547,103.19166666666666,881.5366666666666,11615.4,272.733
2014-03,236.028,102.71733333333333,902.6703333333334,11695.2,273.486
2014-04,236.468,102.243,923.804,11737.4,274.1
2014-05,236.918,102.16566666666667,932.774,11778.6,274.71
2014-06,237.231,102.08833333333332,941.744,11838.0,275.321
2014-07,237.498,102.011,950.714,11879.2,276.248
2014-08,237.46,102.554,963.3896666666667,11958.8,277.048
2014-09,237.477,103.097,976.0653333333333,11964.9,277.998
2014-10,237.43,103.64,988.741,12035.5,278.985
2014-11,236.983,103.80233333333334,1017.4643333333333,12058.4,280.123
2014-12,236.252,103.96466666666666,1046.1876666666667,12067.6,280.874
2015-01,234.747,104.127,1074.911,12036.5,281.572
2015-02,235.342,104.31066666666666,1059.1670000000001,12083.1,282.389
2015-03,235.976,104.49433333333333,1043.423,12132.2,283.13
2015-04,236.222,104.678,1027.679,12170.3,283.598
2015-05,237.001,104.81433333333334,1021.7560000000001,12233.6,284.245
2015-06,237.657,104.95066666666666,1015.833,12270.3,285.031
2015-07,238.034,105.087,1009.91,12327.5,286.09
2015-08,238.033,105.21000000000001,1015.5973333333333,12359.3,287.068
2015-09,237.498,105.333,1021.2846666666667,12356.4,288.306
2015-10,237.733,105.456,1026.972,12362.3,289.428
2015-11,238.017,105.36733333333333,1033.372,12397.5,290.322
2015-12,237.761,105.27866666666667,1039.772,12432.8,291.204
2016-01,237.652,105.19,1046.172,12452.1,292.004
2016-02,237.336,105.31333333333333,1020.6596666666667,12526.3,292.777
2016-03,238.08,105.43666666666667,995.1473333333333,12506.8,293.489
2016-04,238.992,105.56,969.635,12586.0,294.175
2016-05,239.557,105.56766666666667,966.8293333333334,12624.4,295.036
2016-06,240.222,105.57533333333333,964.0236666666666,12701.7,295.902
2016-07,240.101,105.583,961.218,12720.6,296.862
2016-08,240.545,105.75933333333333,965.5853333333333,12749.8,297.916
2016-09,241.176,105.93566666666666,969.9526666666667,12806.8,298.962
2016-10,241.741,106.112,974.32,12828.1,300.4
2016-11,242.026,106.45033333333333,992.9953333333334,12853.6,301.587
2016-12,242.637,106.78866666666666,1011.6706666666666,12962.9,302.735
2017-01,243.618,107.127,1030.346,13020.4,303.467
2017-02,244.006,107.37433333333333,1058.2236666666668,13038.6,304.211
2017-03,243.892,107.62166666666667,1086.1013333333333,13089.3,304.868
2017-04,244.193,107.869,1113.979,13114.1,305.477
2017-05,244.004,107.97666666666666,1115.654,13117.6,306.379
2017-06,244.163,108.08433333333333,1117.329,13170.3,307.314
2017-07,244.243,108.192,1119.004,13193.5,308.173
2017-08,245.183,108.50933333333333,1089.9083333333333,13234.1,309.479
2017-09,246.435,108.82666666666667,1060.8126666666667,13353.4,310.268
2017-10,246.626,109.144,1031.717,13383.4,311.501
2017-11,247.284,109.289,1053.5106666666668,13479.8,312.67
2017-12,247.805,109.434,1075.3043333333333,13609.0,313.904
2018-01,248.859,109.579,1097.098,13628.4,314.788
2018-02,249.529,109.61266666666667,1106.1513333333332,13668.3,315.277
2018-03,249.577,109.64633333333333,1115.2046666666668,13735.4,315.883
2018-04,250.227,109.68,1124.258,13792.1,316.763
2018-05,250.792,109.909,1147.281,13860.2,317.49
2018-06,251.018,110.138,1170.304,13900.2,318.318
2018-07,251.214,110.367,1193.327,13952.3,319.351
2018-08,251.663,110.55566666666667,1231.0563333333334,14001.1,320.651
2018-09,252.182,110.74433333333334,1268.7856666666667,14013.0,321.533
2018-10,252.772,110.933,1306.515,14096.5,322.628
2018-11,252.594,111.47733333333333,1372.7706666666668,14160.6,323.968
2018-12,252.767,112.02166666666668,1439.0263333333332,14051.7,324.815
2019-01,252.718,112.566,1505.282,14090.0,325.597
2019-02,253.322,112.364,1473.7076666666667,14113.9,326.351
2019-03,254.202,112.16199999999999,1442.1333333333332,14233.8,327.513
2019-04,255.211,111.96,1410.559,14272.6,328.678
2019-05,255.29,111.78933333333333,1414.3046666666667,14322.1,329.333
2019-06,255.159,111.61866666666666,1418.0503333333334,14376.6,330.648
2019-07,255.685,111.448,1421.796,14448.3,331.605
2019-08,256.059,111.81766666666667,1430.8236666666667,14487.0,332.638
2019-09,256.511,112.18733333333333,1439.8513333333333,14511.2,333.834
2019-10,257.244,112.557,1448.879,14554.2,334.68
2019-11,257.803,113.57533333333333,1566.3133333333333,14613.8,335.819
2019-12,258.616,114.59366666666666,1683.7476666666666,14689.2,336.789
2020-01,259.037,115.612,1801.182,14728.8,337.825
2020-02,259.248,116.237,2818.164333333333,14785.7,338.616
2020-03,258.124,116.862,3835.1466666666665,13806.0,339.519
2020-04,256.092,117.487,4852.129,12082.4,340.135
2020-05,255.868,116.26533333333333,4209.385333333334,13129.4,340.811
2020-06,256.986,115.04366666666667,3566.6416666666664,13937.5,341.294
2020-07,258.278,113.822,2923.898,14230.1,341.95
2020-08,259.411,115.075,2746.6473333333333,14352.8,342.444
2020-09,260.029,116.328,2569.396666666667,14583.3,342.91
2020-10,260.286,117.581,2392.146,14626.1,343.615
